Hour_Counter,2-hr,4-hr,8-hr,12-hr,24-hr,48-hr,120-hr
173,87,44,22,15,8,4,2
174,87,44,22,15,8,4,2
175,88,44,22,15,8,4,2
176,88,44,22,15,8,4,2
177,89,45,23,15,8,4,2
178,89,45,23,15,8,4,2
179,90,45,23,15,8,4,2
180,90,45,23,15,8,4,2
181,91,46,23,16,8,4,2
182,91,46,23,16,8,4,2
183,92,46,23,16,8,4,2
184,92,46,23,16,8,4,2
185,93,47,24,16,8,4,2
186,93,47,24,16,8,4,2
187,94,47,24,16,8,4,2
188,94,47,24,16,8,4,2
189,95,48,24,16,8,4,2
190,95,48,24,16,8,4,2
191,96,48,24,16,8,4,2
192,96,48,24,16,8,4,2
193,97,49,25,17,9,5,2
194,97,49,25,17,9,5,2
195,98,49,25,17,9,5,2
196,98,49,25,17,9,5,2
197,99,50,25,17,9,5,2
198,99,50,25,17,9,5,2
199,100,50,25,17,9,5,2
200,100,50,25,17,9,5,2
201,101,51,26,17,9,5,2
202,101,51,26,17,9,5,2
203,102,51,26,17,9,5,2
204,102,51,26,17,9,5,2
205,103,52,26,18,9,5,2
206,103,52,26,18,9,5,2
207,104,52,26,18,9,5,2
208,104,52,26,18,9,5,2
209,105,53,27,18,9,5,2
210,105,53,27,18,9,5,2
211,106,53,27,18,9,5,2
212,106,53,27,18,9,5,2
213,107,54,27,18,9,5,2
214,107,54,27,18,9,5,2
215,108,54,27,18,9,5,2
216,108,54,27,18,9,5,2
217,109,55,28,19,10,5,2
218,109,55,28,19,10,5,2
219,110,55,28,19,10,5,2
220,110,55,28,19,10,5,2
221,111,56,28,19,10,5,2
222,111,56,28,19,10,5,2
223,112,56,28,19,10,5,2
224,112,56,28,19,10,5,2
225,113,57,29,19,10,5,2
226,113,57,29,19,10,5,2
227,114,57,29,19,10,5,2
228,114,57,29,19,10,5,2
229,115,58,29,20,10,5,2
230,115,58,29,20,10,5,2
231,116,58,29,20,10,5,2
232,116,58,29,20,10,5,2
233,117,59,30,20,10,5,2
234,117,59,30,20,10,5,2
235,118,59,30,20,10,5,2
236,118,59,30,20,10,5,2
237,119,60,30,20,10,5,2
238,119,60,30,20,10,5,2
239,120,60,30,20,10,5,2
240,120,60,30,20,10,5,2
241,121,61,31,21,11,6,3
242,121,61,31,21,11,6,3
243,122,61,31,21,11,6,3
244,122,61,31,21,11,6,3
245,123,62,31,21,11,6,3
246,123,62,31,21,11,6,3
247,124,62,31,21,11,6,3
248,124,62,31,21,11,6,3
249,125,63,32,21,11,6,3
